"V1" "V2" "V3" "V4"
2 2 2 2.16666666666667
2 2.2 2 2
2.28571428571429 2 2 2
2 2.16666666666667 2 2
2.125 2.375 2 2
2.25 2 2 2
2 2 2.2 2
2 2.2 2 2
2 2 2 2
2.16666666666667 2 2 2
2 2 2.2 2.11111111111111
2 2.16666666666667 2 2.16666666666667
2 2 2 2
2 2.28571428571429 2 2
2 2.6 2.14285714285714 2
2.4 2 2 2
2 2 2.14285714285714 2
2.33333333333333 2 2 2
2 2.33333333333333 2 2
2.2 2.125 2 2
2.16666666666667 2 2 2.2
2.16666666666667 2.16666666666667 2 2.125
2 2 2 2.42857142857143
2 2 2 2
2 2 2.14285714285714 2
2 2 2 2.125
2 2 2 2.14285714285714
2 2.33333333333333 2 2
2.14285714285714 2.28571428571429 2 2.14285714285714
2.2 2 2 2.14285714285714
2 2 2 2
2 2 2 2.28571428571429
2.25 2 2.2 2.125
2 2.25 2.22222222222222 2
2.25 2 2 2.16666666666667
2 2.11111111111111 2.14285714285714 2.33333333333333
2 2.25 2 2.125
2 2 2 2
2 2.4 2 2
2.2 2 2 2.14285714285714
2 2 2.16666666666667 2.14285714285714
2 2 2.2 2
2.2 2 2 2.11111111111111
2.14285714285714 2 2 2.2
2 2 2.16666666666667 2.5
2.14285714285714 2 2 2.2
2 2.33333333333333 2 2.25
2 2 2 2
2 2 2 2.14285714285714
2.09090909090909 2.1 2 2.1
2.125 2.2 2 2
2 2 2 2
2 2 2.16666666666667 2.42857142857143
2 2 2.14285714285714 2.14285714285714
2 2 2 2
2 2 2 2
2 2 2 2.8
2 2 2 2.2
2 2.2 2 2
2 2.14285714285714 2 2
2.16666666666667 2 2 2.16666666666667
2 2.16666666666667 2 2
2 2 2 2.28571428571429
