"V1" "V2" "V3" "V4"
2.14285714285714 2 2 2.125
2 2.2 2 2.11111111111111
2.22222222222222 2 2.2 2.11111111111111
2 2.14285714285714 2.14285714285714 2.11111111111111
2.11111111111111 2.375 2 2.25
2.14285714285714 2 2 2.1
2.16666666666667 2 2.2 2.1
2.2 2.2 2 2
2 2 2.16666666666667 2
2.14285714285714 2 2 2
2 2.1 2.16666666666667 2.1
2 2.16666666666667 2 2.14285714285714
2.11111111111111 2 2 2
2 2.28571428571429 2 2
2.16666666666667 2.5 2.14285714285714 2
2.33333333333333 2 2 2.11111111111111
2.25 2 2.22222222222222 2
2.28571428571429 2 2 2.2
2 2.33333333333333 2 2
2.2 2.125 2.25 2.08333333333333
2.28571428571429 2 2 2.16666666666667
2.25 2.16666666666667 2 2.11111111111111
2 2 2 2.375
2.14285714285714 2 2 2.14285714285714
2.28571428571429 2 2.11111111111111 2
2.16666666666667 2 2 2.125
2 2 2 2.125
2 2.33333333333333 2 2
2.14285714285714 2.375 2.16666666666667 2.11111111111111
2.11111111111111 2 2 2.28571428571429
2.1 2 2 2
2 2 2 2.28571428571429
2.2 2.16666666666667 2.16666666666667 2.11111111111111
2 2.25 2.3 2
2.375 2.16666666666667 2 2.125
2 2.375 2.25 2.33333333333333
2 2.4 2 2.1
2.14285714285714 2 2.125 2
2 2.6 2.16666666666667 2
2.125 2 2 2.11111111111111
2 2 2.33333333333333 2.125
2.25 2 2.16666666666667 2
2.16666666666667 2 2.14285714285714 2.11111111111111
2.125 2 2 2.14285714285714
2 2 2.11111111111111 2.4
2.22222222222222 2 2 2.16666666666667
2 2.33333333333333 2 2.25
2 2 2 2.11111111111111
2 2.33333333333333 2 2.125
2.08333333333333 2.1 2.14285714285714 2.1
2.11111111111111 2.2 2 2.16666666666667
2 2 2 2
2 2 2.14285714285714 2.375
2 2 2.1 2.11111111111111
2 2 2 2.2
2 2 2 2.11111111111111
2 2 2 2.66666666666667
2 2 2 2.16666666666667
2 2.33333333333333 2 2
2 2.14285714285714 2 2
2.42857142857143 2 2 2.125
2 2.16666666666667 2 2.18181818181818
2.14285714285714 2 2 2.28571428571429
